dir,entry,sl,tp,size,bars,open_idx,open_time,buy_p,sell_p,result,pnl,close_idx,close_time,equity
sell,3370.4,3372.967142857143,3366.977142857143,3.8739255019642913,5,10624,2025-08-05 09:10:00,0.609,0.332,tp,13.26,10630,2025-08-05 09:40:00,1007.75
sell,3371.84,3374.917142857143,3367.737142857143,3.2749597873984806,11,10644,2025-08-05 10:50:00,0.359,0.53,tp,13.44,10656,2025-08-05 11:50:00,1021.19
sell,3374.88,3377.5896428571427,3371.267142857143,3.768720299012075,3,10906,2025-08-06 09:50:00,0.601,0.384,tp,13.62,10910,2025-08-06 10:10:00,1034.8
buy,3392.64,3388.985357142857,3397.512857142857,2.831479004597945,4,11440,2025-08-08 08:40:00,0.752,0.233,tp,13.8,11445,2025-08-08 09:05:00,1048.6
sell,3388.54,3394.717857142857,3380.302857142857,1.6973552809248078,1,11528,2025-08-08 16:00:00,0.337,0.571,sl,-10.49,11530,2025-08-08 16:10:00,1038.12
sell,3357.09,3362.5778571428573,3349.7728571428574,1.891659711892699,5,11814,2025-08-11 17:00:00,0.582,0.312,tp,13.84,11820,2025-08-11 17:30:00,1051.96
sell,3349.26,3355.2182142857146,3341.3157142857144,1.7655581355101266,0,12072,2025-08-12 15:40:00,0.373,0.578,sl,-10.52,12073,2025-08-12 15:45:00,1041.44
buy,3354.11,3350.7007142857146,3358.655714285714,3.0547096491693404,1,12295,2025-08-13 11:25:00,0.354,0.635,tp,13.89,12297,2025-08-13 11:35:00,1055.32
buy,3361.09,3357.6035714285717,3365.7385714285715,3.026947526645795,1,12342,2025-08-13 15:20:00,0.572,0.374,sl,-10.55,12344,2025-08-13 15:30:00,1044.77
buy,3341.41,3338.4464285714284,3345.3614285714284,3.525376131304392,2,12827,2025-08-15 10:05:00,0.268,0.588,tp,13.93,12830,2025-08-15 10:20:00,1058.7
sell,3340.97,3343.8960714285713,3337.068571428571,3.618164134350109,5,12886,2025-08-15 15:00:00,0.323,0.583,tp,14.12,12892,2025-08-15 15:30:00,1072.82
sell,3341.18,3345.602857142857,3335.282857142857,2.4256191055206755,5,12900,2025-08-15 16:10:00,0.362,0.62,tp,14.3,12906,2025-08-15 16:40:00,1087.12
buy,3348.89,3345.6960714285715,3353.1485714285714,3.4037107491303757,9,13092,2025-08-18 09:20:00,0.377,0.517,tp,14.49,13102,2025-08-18 10:10:00,1101.62
buy,3336.72,3334.3724999999995,3339.85,4.692719260488885,2,13372,2025-08-19 09:50:00,0.335,0.629,tp,14.69,13375,2025-08-19 10:05:00,1116.3
buy,3325.2,3322.9821428571427,3328.157142857143,5.033255010497034,25,13671,2025-08-20 11:55:00,0.293,0.69,tp,14.88,13697,2025-08-20 14:05:00,1131.19
buy,3343.41,3340.4132142857143,3347.405714285714,3.7746713300032613,21,13756,2025-08-20 19:00:00,0.27,0.383,tp,15.08,13778,2025-08-20 20:50:00,1146.27
sell,3339.8,3342.309285714286,3336.454285714286,4.56811519477013,29,13935,2025-08-21 11:05:00,0.661,0.27,tp,15.28,13965,2025-08-21 13:35:00,1161.55
sell,3344.64,3347.966785714286,3340.2042857142856,3.491521029511577,1,13988,2025-08-21 15:30:00,0.494,0.383,tp,15.49,13990,2025-08-21 15:40:00,1177.04
buy,3372.24,3370.677857142857,3374.3228571428567,7.534788592083617,1,14600,2025-08-25 20:50:00,0.334,0.646,sl,-11.77,14602,2025-08-25 21:00:00,1165.27
buy,3396.78,3394.6178571428572,3399.6628571428573,5.389427427940033,9,15334,2025-08-28 13:30:00,0.255,0.74,tp,15.54,15344,2025-08-28 14:20:00,1180.81
buy,3401.48,3396.659642857143,3407.907142857143,2.449627934410157,5,15367,2025-08-28 16:15:00,0.283,0.623,tp,15.74,15373,2025-08-28 16:45:00,1196.55
buy,3411.19,3408.1814285714286,3415.2014285714286,3.977144263272737,4,15399,2025-08-28 18:55:00,0.414,0.568,tp,15.95,15404,2025-08-28 19:20:00,1212.51
sell,3409.08,3411.325714285714,3406.0857142857144,5.399201036491951,2,15629,2025-08-29 15:15:00,0.508,0.368,sl,-12.13,15632,2025-08-29 15:30:00,1200.38
buy,3478.12,3473.040357142857,3484.892857142857,2.3631213074798283,15,15851,2025-09-01 10:55:00,0.499,0.405,sl,-12.0,15867,2025-09-01 12:15:00,1188.38
buy,3473.96,3471.488214285714,3477.2557142857145,4.8077687635775765,6,15951,2025-09-01 19:15:00,0.296,0.698,tp,15.85,15958,2025-09-01 19:50:00,1204.22
sell,3481.43,3484.802857142857,3476.932857142857,3.570333387783176,3,16124,2025-09-02 13:15:00,0.54,0.431,sl,-12.04,16128,2025-09-02 13:35:00,1192.18
sell,3484.47,3487.8107142857143,3480.015714285714,3.56863868174919,9,16128,2025-09-02 13:35:00,0.538,0.406,tp,15.9,16138,2025-09-02 14:25:00,1208.08
buy,3534.93,3532.0810714285712,3538.7285714285713,4.240457170047861,4,16396,2025-09-03 13:05:00,0.563,0.436,tp,16.11,16401,2025-09-03 13:30:00,1224.18
sell,3535.71,3541.091785714286,3528.5342857142855,2.2746792667116424,11,16632,2025-09-04 09:55:00,0.523,0.313,sl,-12.24,16644,2025-09-04 10:55:00,1211.94
sell,3550.97,3553.888571428571,3547.078571428571,4.15251718690388,12,16944,2025-09-05 13:05:00,0.562,0.433,sl,-12.12,16957,2025-09-05 14:10:00,1199.82
sell,3551.04,3553.7807142857146,3547.385714285714,4.377772575822235,4,16962,2025-09-05 14:35:00,0.421,0.577,sl,-12.0,16967,2025-09-05 15:00:00,1187.82
buy,3651.24,3646.411071428571,3657.6785714285716,2.4598089253305853,0,17799,2025-09-10 15:40:00,0.432,0.54,sl,-11.88,17800,2025-09-10 15:45:00,1175.95
sell,3625.93,3630.7771428571427,3619.467142857143,2.4260599553935194,10,18008,2025-09-11 10:05:00,0.322,0.642,sl,-11.76,18019,2025-09-11 11:00:00,1164.19
buy,3651.0,3647.4525,3655.73,3.281709539661124,18,18278,2025-09-12 09:35:00,0.376,0.515,sl,-11.64,18297,2025-09-12 11:10:00,1152.54
buy,3642.1,3639.892857142857,3645.042857142857,5.2218848946404695,4,18550,2025-09-15 09:15:00,0.303,0.65,sl,-11.53,18555,2025-09-15 09:40:00,1141.02
buy,3639.82,3637.216428571429,3643.2914285714287,4.382515248613651,2,18555,2025-09-15 09:40:00,0.253,0.683,sl,-11.41,18558,2025-09-15 09:55:00,1129.61
sell,3642.97,3646.4007142857145,3638.395714285714,3.292634894936958,16,18572,2025-09-15 11:05:00,0.698,0.29,tp,15.06,18589,2025-09-15 12:30:00,1144.67
buy,3638.72,3635.6,3642.8799999999997,3.6688154164506077,1,18624,2025-09-15 15:25:00,0.373,0.613,tp,15.26,18626,2025-09-15 15:35:00,1159.93
buy,3692.97,3690.5014285714283,3696.2614285714285,4.698801374105658,5,18885,2025-09-16 14:10:00,0.373,0.617,tp,15.47,18891,2025-09-16 14:40:00,1175.4
sell,3689.73,3692.8714285714286,3685.5414285714287,3.741604892275668,38,18955,2025-09-16 20:00:00,0.595,0.29,sl,-11.75,18994,2025-09-16 23:15:00,1163.64
sell,3679.14,3681.1339285714284,3676.4814285714283,5.835938575341681,1,19091,2025-09-17 08:20:00,0.704,0.26,sl,-11.64,19093,2025-09-17 08:30:00,1152.01
sell,3671.42,3675.511785714286,3665.964285714286,2.8154163057929904,5,19174,2025-09-17 15:15:00,0.532,0.347,sl,-11.52,19180,2025-09-17 15:45:00,1140.49
buy,3684.51,3681.966428571429,3687.901428571429,4.483805443599779,5,19237,2025-09-17 20:30:00,0.388,0.593,sl,-11.4,19243,2025-09-17 21:00:00,1129.08
sell,3644.19,3646.9875,3640.46,4.036043118297194,33,19508,2025-09-18 20:05:00,0.245,0.744,sl,-11.29,19542,2025-09-18 22:55:00,1117.79
